Gene 1	Gene 2	Weight	Network group	Network
XRCC2	RAD51AP1	0.010997108	Co-expression	Burington-Shaughnessy-2008
MSH6	RAD51AP1	0.013282019	Co-expression	Burington-Shaughnessy-2008
MSH2	MSH6	0.014397356	Co-expression	Burington-Shaughnessy-2008
MSH2	MRE11A	0.009260583	Co-expression	Burington-Shaughnessy-2008
RAD51	RAD51AP1	0.014410621	Co-expression	Burington-Shaughnessy-2008
RAD51	XRCC2	0.023665331	Co-expression	Burington-Shaughnessy-2008
PCNA	MSH2	0.0066486546	Co-expression	Burington-Shaughnessy-2008
RAD51D	XRCC2	0.020121174	Co-expression	Burington-Shaughnessy-2008
MSH3	RAD50	0.026235811	Co-expression	Burington-Shaughnessy-2008
FEN1	MRE11A	0.010239545	Co-expression	Burington-Shaughnessy-2008
FEN1	MSH2	0.0046966053	Co-expression	Burington-Shaughnessy-2008
FEN1	PCNA	0.007026094	Co-expression	Burington-Shaughnessy-2008
FEN1	RAD51C	0.010369628	Co-expression	Burington-Shaughnessy-2008
BRCA2	RAD51AP1	0.009460088	Co-expression	Burington-Shaughnessy-2008
LIG1	RAD51AP1	0.008343202	Co-expression	Burington-Shaughnessy-2008
LIG1	MSH6	0.019368798	Co-expression	Burington-Shaughnessy-2008
LIG1	MSH2	0.0062334896	Co-expression	Burington-Shaughnessy-2008
LIG1	PCNA	0.009046751	Co-expression	Burington-Shaughnessy-2008
LIG1	BRCA2	0.013882733	Co-expression	Burington-Shaughnessy-2008
MBD4	NBN	0.012602674	Co-expression	Burington-Shaughnessy-2008
RAD54B	RAD51AP1	0.0072733257	Co-expression	Dobbin-Giordano-2005
MSH2	RAD54B	0.0061208038	Co-expression	Dobbin-Giordano-2005
RAD51	RAD54B	0.017725939	Co-expression	Dobbin-Giordano-2005
PCNA	RAD51AP1	0.006378335	Co-expression	Dobbin-Giordano-2005
PCNA	RAD54B	0.00840271	Co-expression	Dobbin-Giordano-2005
PCNA	MSH2	0.004987258	Co-expression	Dobbin-Giordano-2005
RAD51C	XRCC3	0.011588192	Co-expression	Dobbin-Giordano-2005
RAD51C	MSH2	0.0068920823	Co-expression	Dobbin-Giordano-2005
FEN1	MLH1	0.01321348	Co-expression	Dobbin-Giordano-2005
BLM	RAD51AP1	0.006200854	Co-expression	Dobbin-Giordano-2005
BLM	PCNA	0.0072634732	Co-expression	Dobbin-Giordano-2005
BLM	BRCA2	0.012837388	Co-expression	Dobbin-Giordano-2005
LIG1	BRCA2	0.012662435	Co-expression	Dobbin-Giordano-2005
LIG1	BLM	0.0071671433	Co-expression	Dobbin-Giordano-2005
RAD54B	RAD51AP1	0.002763422	Co-expression	Noble-Diehl-2008
XRCC2	RAD54B	0.00733135	Co-expression	Noble-Diehl-2008
MSH2	MSH6	0.005778242	Co-expression	Noble-Diehl-2008
RAD51	RAD51AP1	0.005567686	Co-expression	Noble-Diehl-2008
PCNA	MSH6	0.005649677	Co-expression	Noble-Diehl-2008
PCNA	MSH2	0.010246351	Co-expression	Noble-Diehl-2008
PCNA	RAD51	0.008620485	Co-expression	Noble-Diehl-2008
RAD51C	RAD54B	0.0057758903	Co-expression	Noble-Diehl-2008
RAD51D	MSH6	0.007529241	Co-expression	Noble-Diehl-2008
RAD51D	RAD51	0.012611268	Co-expression	Noble-Diehl-2008
FEN1	RAD51B	0.009879406	Co-expression	Noble-Diehl-2008
BRCA2	RAD51AP1	0.008517406	Co-expression	Noble-Diehl-2008
BRCA2	RAD54B	0.007982351	Co-expression	Noble-Diehl-2008
BRCA2	RAD51	0.015424679	Co-expression	Noble-Diehl-2008
BLM	RAD54B	0.005814861	Co-expression	Noble-Diehl-2008
LIG1	MSH6	0.0046053855	Co-expression	Noble-Diehl-2008
RFC1	RAD51AP1	0.008671715	Co-expression	Noble-Diehl-2008
RFC1	MSH6	0.008513394	Co-expression	Noble-Diehl-2008
RFC1	MLH1	0.014266179	Co-expression	Noble-Diehl-2008
SWSAP1	MSH3	0.017791688	Co-expression	Noble-Diehl-2008
MRE11A	MSH6	0.012489821	Co-expression	Rosenwald-Staudt-2001
RAD51	MSH6	0.0044304207	Co-expression	Rosenwald-Staudt-2001
RAD51	MSH2	0.0046522585	Co-expression	Rosenwald-Staudt-2001
PCNA	MSH2	0.00851177	Co-expression	Rosenwald-Staudt-2001
PCNA	RAD51	0.0038137839	Co-expression	Rosenwald-Staudt-2001
RAD51C	RAD51	0.004033115	Co-expression	Rosenwald-Staudt-2001
RAD51C	PCNA	0.0077710724	Co-expression	Rosenwald-Staudt-2001
MUTYH	XRCC3	0.014118166	Co-expression	Rosenwald-Staudt-2001
MUTYH	MLH1	0.011593363	Co-expression	Rosenwald-Staudt-2001
BRCA2	MSH6	0.012236448	Co-expression	Rosenwald-Staudt-2001
BRCA2	MRE11A	0.017189479	Co-expression	Rosenwald-Staudt-2001
LIG1	XRCC3	0.012812127	Co-expression	Rosenwald-Staudt-2001
LIG1	BLM	0.017896008	Co-expression	Rosenwald-Staudt-2001
MSH2	MSH6	0.007878492	Co-expression	Boldrick-Relman-2002
MSH2	MRE11A	0.007991972	Co-expression	Boldrick-Relman-2002
RAD51	MSH2	0.006859141	Co-expression	Boldrick-Relman-2002
PCNA	MSH2	0.0039656702	Co-expression	Boldrick-Relman-2002
PCNA	RAD51	0.0063114	Co-expression	Boldrick-Relman-2002
BLM	MSH6	0.011875866	Co-expression	Boldrick-Relman-2002
BLM	MSH2	0.0069604106	Co-expression	Boldrick-Relman-2002
LIG1	MUTYH	0.017150128	Co-expression	Boldrick-Relman-2002
PMS1	MSH2	0.010256791	Co-expression	Boldrick-Relman-2002
PMS1	PCNA	0.008650334	Co-expression	Boldrick-Relman-2002
PMS1	BLM	0.015411466	Co-expression	Boldrick-Relman-2002
RAD51	MSH2	0.0068876394	Co-expression	Alizadeh-Staudt-2000
PCNA	MSH2	0.01419451	Co-expression	Alizadeh-Staudt-2000
PCNA	RAD51	0.007928261	Co-expression	Alizadeh-Staudt-2000
